title,year,venue_or_source,link,paper_type,insight_score,completeness_score,numeric_evidence_score,overall_label,relevance_note,quality_note
Predictive Control Barrier Functions,2021,arXiv/TAC,https://arxiv.org/abs/2105.10241,theory/proof,5,5,3,Risk,Closest future-feasibility and recovery method,Strong theory but numerical examples are narrow
Backup Control Barrier Functions,2021,arXiv/CDC,https://arxiv.org/abs/2104.11332,theory/proof,5,5,3,Risk,Closest invariant-set feasibility method,Strong comparative theory
Control Barrier Functions in Sampled-Data Systems,2021,arXiv/L-CSS,https://arxiv.org/abs/2103.03677,theory/proof,4,4,3,A,Sample-hold safety anchor,Strong formal scope
Safety via Approximate Discrete Time Models,2022,arXiv/CDC,https://arxiv.org/abs/2203.11470,theory/proof,4,4,3,A,Discrete implementation gap,Strong formal scope
Robust CBFs for Sampled-Data Systems,2023,arXiv,https://arxiv.org/abs/2309.08050,theory/proof,4,4,3,Risk,Bounded disturbance and measurement error,Direct overlap
CBF Meets Interval Analysis,2021,arXiv/ACC,https://arxiv.org/abs/2110.00915,theory/proof,5,5,4,Risk,Reachable margin under uncertainty,Includes Crazyflie experiment
DTCBF Recursive Feasibility,2023,arXiv/CDC,https://arxiv.org/abs/2309.09268,theory/proof,4,4,3,Risk,Recursive feasibility under input limits,Direct overlap
MR-CBF for Learned Perception,2021,CoRL PMLR,https://proceedings.mlr.press/v155/dean21a.html,theory/proof,5,5,4,Risk,Measurement robust safe inputs,Official proceedings
MR-CBF with Backup Sets,2021,arXiv,https://arxiv.org/abs/2104.14030,theory/proof,5,4,4,Risk,Measurement robustness plus invariant backup,Direct combined overlap
Disturbance-Robust Backup CBF,2024,arXiv,https://arxiv.org/abs/2409.07700,theory/proof,5,4,3,Risk,Robust backup tubes,Direct overlap
Dynamic CBF-MPC from LiDAR,2022,arXiv,https://arxiv.org/abs/2209.08539,method + benchmark,4,4,4,A,Predicted dynamic obstacles with inflated uncertainty,Strong systems baseline
Occlusion-Aware Contingency Planning,2025,arXiv,https://arxiv.org/abs/2502.06359,method + benchmark,5,5,5,Risk,Reachable occluded agents and fallback,Strong real-world evidence
Safe Control Under Input Limits,2023,CoRL PMLR,https://proceedings.mlr.press/v205/liu23e.html,pure method,4,4,4,A,Input saturation and CBF feasibility,Official proceedings
Dynamic Output Feedback Barrier Pairs,2023,arXiv,https://arxiv.org/abs/2308.00326,theory/proof,4,4,3,B,Partial state safety,Supporting overlap

