id,year,paper,cluster,primary_source,reading_depth,memory_or_message,update_semantics,grounding_or_structure,downstream_use,theory_relevant_to_candidate,closest_overlap
P01,2025,Exponential Topology-enabled Scalable Communication in Multi-Agent Reinforcement Learning,communication,https://arxiv.org/abs/2502.19717,full,"local-history GRU plus accumulated message memory","local history updates from observation; message updates from prior own and received messages","global-state reconstruction or temporal contrastive grounding","agent action/value network","Boolean-product graph dissemination within log2(N) steps only","memory plus auxiliary grounding; no control sufficiency or safety routing theorem"
P02,2022,Efficient Multi-Agent Communication via Self-supervised Information Aggregation (MASIA),communication,https://arxiv.org/abs/2302.09605,full,"permutation-invariant global aggregate plus agent-specific mask","attention aggregation each step; learned latent transition for K-step prediction","global-state reconstruction and future-latent prediction","individual Q networks and mixer","no theorem that reconstructed latent is control sufficient","compact grounded aggregate and receiver-specific extraction"
P03,2021,Learning to Ground Multi-Agent Communication with Autoencoders,communication,https://arxiv.org/abs/2110.15349,method,"agent communication message","per-step communication encoder","autoencoding task-relevant global information","decentralized policy","empirical only","message grounding precedes ExpoComm"
P04,2022,Learning to Ground Decentralized Multi-Agent Communication with Contrastive Learning,communication,https://arxiv.org/abs/2203.03344,method,"decentralized learned message","per-step encoder update during training","contrastive agreement across agents","decentralized policy","empirical only","contrastive grounding precedes ExpoComm"
P05,2020,Learning Efficient Multi-agent Communication: An Information Bottleneck Approach (IMAC),communication,https://arxiv.org/abs/1911.06992,method,"compressed communication latent","learned sender/receiver encoding","information bottleneck against redundant information","MARL policy/value","IB objective not module-specific safety sufficiency","compact messages and task relevance"
P06,2022,ToM2C: Target-oriented Multi-agent Communication and Cooperation with Theory of Mind,communication,https://arxiv.org/abs/2111.09189,method,"targeted teammate-model message","recomputed from local history and modeled teammate goals","target/task-oriented communication","cooperative policy","no safety non-interference theorem","typed/targeted routing"
P07,2020,Learning Structured Communication for Multi-agent Reinforcement Learning,communication,https://arxiv.org/abs/2002.04235,method,"graph-routed learned messages","learned communication graph per decision","structural sparsity","MARL policy","empirical graph structure","learned sparse routing"
P08,2024,DCMAC: Demand-aware Customized Multi-Agent Communication via Upper Bound Training,communication,https://arxiv.org/abs/2409.07127,abstract+method,"receiver-demand-conditioned messages","per-step customized encoding","upper-bound training objective","MARL action selection","no certified channel","receiver-specific message content"
P09,2023,Robust Multi-agent Communication via Multi-view Message Certification,communication,https://arxiv.org/abs/2305.13936,abstract+method,"certified multi-view messages","cross-view message checking","message certification against corruption","robust MARL policy","certifies communication consistency not physical collision safety","closest use of the word certification in communication"
P10,2026,Formal Verification of Learned Multi-Agent Communication Policies via Decision Tree Distillation,communication,https://arxiv.org/abs/2606.19632,abstract,"distilled symbolic communication policy","offline distillation","formal checking of distilled protocol","verified MARL communication","verification applies to distilled communication logic","newest formal communication overlap"
P11,2026,Cayley Graph Optimization for Scalable Multi-Agent Communication Topologies,communication,https://arxiv.org/abs/2604.09703,abstract,"topology-routed messages","graph propagation","optimized sparse Cayley topology","large-population MARL","graph dissemination/scalability","topology novelty beyond ExpoComm"
P12,2023,RGMComm: Return Gap Minimization via Discrete Communications in Multi-Agent Reinforcement Learning,communication,https://arxiv.org/abs/2308.03358,abstract+method,"discrete task messages","policy-dependent discrete messaging","return-gap objective","MARL policy","performance objective only","task-grounded discrete message selection"
P13,2022,Emergent Quantized Communication,communication,https://arxiv.org/abs/2211.02412,abstract,"quantized messages","learned codebook per interaction","communication-rate bottleneck","cooperative action","no physical grounding","bandwidth-constrained message baseline"
P14,2020,Recurrent Independent Mechanisms,modular_memory,https://arxiv.org/abs/1909.10893,full,"multiple independent recurrent states","top-k input activation; inactive states persist; sparse attention communication","independent-mechanism inductive bias","prediction and control-adjacent tasks","no control/safety theorem","direct modular recurrent architecture overlap"
