Category,Title,Authors,Year,Venue,UAV type,Prediction target,Inputs,Energy model type,Temporal method,Uncertainty method,Uses bootstrapping?,Uses Monte Carlo?,Uses trajectory rollout?,Dataset,Evaluation metrics,Key result,Major limitation,Direct relevance,Paper type,Primary source
"A","Energy Minimization for Wireless Communication With Rotary-Wing UAV","Yong Zeng; Jie Xu; Rui Zhang",2019,"IEEE Transactions on Wireless Communications","Rotary-wing","Instantaneous propulsion power and trajectory energy","Forward speed; rotor and airframe parameters","Physics","Analytical power integrated over trajectory","None","No","No","Yes","Simulation with analytical model","Propulsion energy; communication throughput","Derives the widely reused rotary-wing propulsion-power model and optimizes trajectory energy","Steady/idealized flight assumptions; no learned uncertainty","Supports a transparent instantaneous-power layer and numerical rollout baseline","pure method","https://doi.org/10.1109/TWC.2019.2902559"
"A/B","Energy Model for UAV Communications: Experimental Validation and Model Generalization","Ning Gao; Yong Zeng; Jian Wang; Di Wu; Chaoyue Zhang; Qingheng Song; Jiachen Qian; Shi Jin",2021,"China Communications","Rotary-wing","Instantaneous power","Speed; direction; acceleration","Hybrid physics/data-driven","Curve fitting and DNN over flight samples","None","No","No","No","Real flight; about 12,000 power-speed samples","Power prediction fit/error","Validates the analytical speed-power curve and extends modeling to general 2-D motion","Vehicle- and regime-specific; no mission-risk calibration","Shows that velocity/acceleration power can be learned before trajectory integration","method + benchmark","https://doi.org/10.23919/JCC.2021.07.020"
"A","Energy-Efficient UAV Communications: A Generalized Propulsion Energy Consumption Model","Xinhong Dai; Bin Duo; Xiaojun Yuan; Wanbin Tang",2022,"IEEE Wireless Communications Letters","Rotary-wing","Instantaneous propulsion power and trajectory energy","Velocity; acceleration; flight direction; thrust-to-weight variables","Physics","3-D force/propulsion derivation then trajectory integration","None","No","No","Yes","Analytical simulation","Energy efficiency; energy consumption","Generalizes propulsion energy beyond constant-speed straight flight","Requires aerodynamic parameters and modeled dynamics","Directly motivates using realized velocity and acceleration in TelemetryCostModel","pure method","https://doi.org/10.1109/LWC.2022.3195787"
"A/D","Energy-Efficient UAV Communications in the Presence of Wind: 3D Modeling and Trajectory Design","Xinhong Dai; Bin Duo; Xiaojun Yuan; Marco Di Renzo",2024,"IEEE Transactions on Wireless Communications","Rotary-wing","Wind-conditioned trajectory energy","3-D velocity; forces; stochastic wind","Physics","Stochastic-programming trajectory integration with online adaptation","Wind distribution","No","No","Yes","Simulation with stochastic wind","Energy efficiency under wind","Extends the generalized propulsion model to stochastic 3-D wind and adaptive trajectories","No real-flight uncertainty calibration","Shows why future energy-to-go must condition on wind or roll out a wind model","pure method","https://doi.org/10.1109/TWC.2023.3292290"
"A","Modeling Power Consumptions for Multirotor UAVs","Hao Gong; Baoqi Huang; Bing Jia; Hansu Dai",2023,"IEEE Transactions on Aerospace and Electronic Systems","Multirotor; DJI M210 validation","Instantaneous power","Forward speed; vertical ascent/descent; rotor count and vehicle parameters","Physics","Closed-form phase-specific power, combined into 3-D model","None","No","No","Yes","Real DJI M210 flights and simulation","Power prediction agreement","Derives forward, ascent, and descent power models and validates them experimentally","Model parameters are platform-specific","Highlights missing climb/descent physics in the present synthetic cost model","method + benchmark","https://doi.org/10.1109/TAES.2023.3288846"
"B","A Comparative Study on Energy Consumption Models for Drones","Carlos Muli; Sangyoung Park; Mingming Liu",2022,"Internet of Things, Springer LNCS","Delivery multirotor","Instantaneous/segment energy","Flight telemetry and temporal history","Hybrid comparison; LSTM primary","LSTM sequence model","None","No","No","No","Real delivery-drone flight data","Prediction error and sensitivity","LSTM outperforms five compared physical models on the studied dataset","Dataset/model transfer is not established; no conservative mission bound","Supports learning power residuals rather than recursively bootstrapping return quantiles","method + benchmark","https://doi.org/10.1007/978-3-031-20936-9_16"
"B/D","CVaR-based Flight Energy Risk Assessment for Multirotor UAVs using a Deep Energy Model","Arnav Choudhry; Brady Moon; Jay Patrikar; Constantine Samaras; Sebastian Scherer",2021,"IEEE International Conference on Robotics and Automation (ICRA)","Multirotor","Trajectory energy distribution and CVaR risk","Time-varying flight features; static context; route/weather factors","Data-driven","TCN power prediction followed by Monte Carlo forward simulation","Monte Carlo distribution and CVaR","No","Yes","Yes","Real flight","Power prediction error; CVaR flight risk","Reports 29% better power prediction than an analytical comparator and derives route-level CVaR from forward simulations","Risk quality depends on the learned power and uncertainty models; primarily pre-flight","Closest architectural precedent for power model + rollout + conservative risk, and a stronger baseline than raw Q95 TD","method + benchmark","https://doi.org/10.1109/ICRA48506.2021.9561658"
"B","A Data-Driven Power Consumption Model for Electric UAVs","Xu Ting Pamela She; Xianke Lin; Haoxiang Lang",2020,"American Control Conference (ACC)","Electric UAV","Instantaneous power","Flight states and operating conditions","Data-driven","Feed-forward neural regression","None","No","No","No","Experimental UAV data","Power prediction error","Demonstrates NN power modeling without requiring complete vehicle dynamics","Limited public detail/data and no trajectory-level uncertainty","Candidate replacement or residual model for real-UAV instantaneous power","pure method","https://doi.org/10.23919/ACC45564.2020.9147622"
"C","Mission-Based Energy Consumption Prediction of Multirotor UAV","Alex S. Prasetia; Rong-Jong Wai; Yi-Lun Wen; Yu-Kai Wang",2019,"IEEE Access","Custom hexarotor","Total mission energy","Mission primitives; GPS; battery log; acceleration/deceleration phases","Data-driven","Movement segmentation plus Elastic Net regression","None","No","No","No","Real flight missions","Mission energy accuracy","Reports 98.773% mean mission-energy accuracy on two surveillance-like test patterns","Small platform/task scope; no uncertainty intervals or online energy-to-go","Shows direct mission regression can work without Bellman recursion","method + benchmark","https://doi.org/10.1109/ACCESS.2019.2903644"
"A/C","Vehicle Routing Problems for Drone Delivery","Kevin Dorling; Jordan Heinrichs; Geoffrey G. Messier; Sebastian Magierowski",2017,"IEEE Transactions on Systems, Man, and Cybernetics: Systems","Delivery multirotor","Trip energy","Payload mass; battery mass; maneuver power; route","Physics/empirical","Segment energy integrated inside routing optimization","None","No","No","Yes","Bench tests plus routing simulation","Energy-model validation; cost/time","Finds approximately linear dependence on payload and battery weight and embeds it in multi-trip routing","Simplified flight regimes and no online uncertainty","Shows payload must be context for future transferable energy estimates","method + benchmark","https://doi.org/10.1109/TSMC.2016.2582745"
