paper,year,source,type,problem,exact_overlap,remaining_difference,novelty_risk,link
Predictive Control Barrier Functions,2021/2023,arXiv/TAC,theory+method,predictive feasible-set recovery,"future feasibility, terminal CBF, always-feasible recovery","intermittent UAV perception benchmark only",fatal for Route B theory,https://arxiv.org/abs/2105.10241
Backup Control Barrier Functions,2021,arXiv/CDC,theory+method,online invariant set and QP feasibility,"backup-flow recoverability and feasibility guarantee","no fixed backup policy in current diagnostic",fatal for generic recoverability claim,https://arxiv.org/abs/2104.11332
Control Barrier Functions in Sampled-Data Systems,2021,arXiv/L-CSS,theory+method,sampled-data forward invariance,"piecewise-constant controller safety conditions","current work stresses dynamic perception",high,https://arxiv.org/abs/2103.03677
Safety of Sampled-Data Systems via Approximate Discrete-Time Models,2022,arXiv/CDC,theory+method,discrete implementation gap,"sampled-data CBF and practical safety","current work measures feasibility loss",high,https://arxiv.org/abs/2203.11470
Robust CBFs for Sampled-Data Systems,2023,arXiv,theory+method,bounded disturbance and measurement error,"high-order robust sampled-data CBF","whole-object intermittent detection is a specific stressor",fatal for generic robust sampled-data claim,https://arxiv.org/abs/2309.08050
CBF Meets Interval Analysis,2021/2022,arXiv/ACC,theory+method,measurement and actuation uncertainty,"reachable overapproximation and sampled-data margin; Crazyflie demo","current diagnostic isolates margin infeasibility",fatal for reachable-set margin novelty,https://arxiv.org/abs/2110.00915
DTCBF for Guaranteed Recursive Feasibility in NMPC,2023,arXiv/CDC,theory+method,recursive feasibility with limited input,"discrete-time terminal certificate and recursive feasibility","current candidate is only one-step",fatal for recursive-feasibility claim,https://arxiv.org/abs/2309.09268
Guaranteeing Safety of Learned Perception Modules via MR-CBFs,2021,PMLR CoRL,theory+method,measurement uncertainty,"measurement-robust safe action constraints","current dropout is set-valued object absence",high,https://proceedings.mlr.press/v155/dean21a.html
Measurement-Robust CBFs: Certainty in Safety with Uncertainty in State,2021,arXiv,theory+method,measurement uncertainty plus backup sets,"robustness and backup invariant sets","matched intermittent-perception benchmark",fatal for combined uncertainty+backup novelty,https://arxiv.org/abs/2104.14030
Disturbance-Robust Backup CBFs,2024,arXiv,theory+method,uncertain backup flows,"robust tubes and robust invariant sets","obstacle perception process rather than dynamics disturbance",fatal for robust backup route,https://arxiv.org/abs/2409.07700
Dynamic CBF-MPC for LiDAR Obstacle Avoidance,2022,arXiv,method+system,dynamic LiDAR obstacles,"motion prediction and uncertainty-inflated obstacles","does not focus on constraint disappearance benchmark",high,https://arxiv.org/abs/2209.08539
Occlusion-Aware Contingency Safety-Critical Planning,2025,arXiv,method+system,occluded dynamic agents,"reachable occluded-agent sets plus fallback/exploration trajectories","UAV/filter-feasibility diagnostics",fatal for occlusion propagation+contingency claim,https://arxiv.org/abs/2502.06359
Safe Control Under Input Limits with Neural CBFs,2023,PMLR CoRL,method,input saturation and safe-set synthesis,"limited actuation and CBF infeasibility","analytic fixed HOCBF rather than learned CBF",high for Route C,https://proceedings.mlr.press/v205/liu23e.html
Dynamic Output Feedback Barrier Pairs,2023,arXiv,theory+method,partial state information,"robust barrier enforcement from estimated state","object dropout benchmark",medium,https://arxiv.org/abs/2308.00326

