id,title,authors,year,venue,source_url,system_dynamics,relative_degree,safety_representation,rl_type,cbf_type,optimization_type,hard_or_expected_safety,input_limits_handled,sampling_delay_handled,multi_obstacle_handled,sensor_uncertainty_handled,energy_considered,complexity,theoretical_guarantee,experiment,limitations,direct_relevance,novelty_overlap
1,"Control Barrier Function Based Quadratic Programs for Safety Critical Systems","Ames et al.",2014,"ACC","https://doi.org/10.1109/ACC.2014.6856521","control-affine","mostly 1","safe set h>=0","none","zeroing CBF","QP","pointwise continuous-time","yes","no","not central","no","no","convex QP per control step","forward invariance under CBF feasibility and regularity","automotive and robotics examples","continuous-time exact-state assumptions","minimal-intervention projection baseline","high: standard CBF-QP"
2,"Control Barrier Function Based Quadratic Programs with Application to Adaptive Cruise Control","Ames et al.",2017,"IEEE TAC","https://doi.org/10.1109/TAC.2016.2638961","control-affine vehicle","1 and 2 through ECBF/CLF structure","ZCBF safe set","none","ZCBF plus CLF","QP","pointwise continuous-time","yes","no","no","no","no","convex QP","forward invariance conditional on feasible CBF inequality","adaptive cruise control","sampling and perception omitted","actuator-aware safety QP","high: standard formulation"
3,"Exponential Control Barrier Functions for Enforcing High Relative-Degree Safety-Critical Constraints","Nguyen and Sreenath",2016,"ACC","https://doi.org/10.1109/ACC.2016.7524935","nonlinear control-affine","arbitrary","exponential barrier recursion","none","ECBF","QP","pointwise continuous-time","yes","no","limited","no","no","QP with linear safety rows","invariance under ECBF conditions","biped and automotive examples","continuous-time and model-known","second-order collision derivation","high: direct HOCBF predecessor"
4,"Control Barrier Functions for Systems with High Relative Degree","Xiao and Belta",2022,"IEEE TAC","https://doi.org/10.1109/TAC.2021.3105491","nonlinear control-affine","arbitrary","recursive psi sets","none","HOCBF","QP or constrained optimization","pointwise continuous-time","yes","no","yes by conjunction","no","no","one affine row per barrier after recursion","forward invariance of nested safe sets under assumptions","adaptive cruise and robotics","feasibility and sampled implementation remain application-specific","formal HOCBF foundation","high: direct theory overlap"
5,"Nonsmooth Barrier Functions with Applications to Multi-Robot Systems","Glotfelter Cortes and Egerstedt",2017,"IEEE L-CSS","https://doi.org/10.1109/LCSYS.2017.2710943","control-affine multi-robot","mostly 1","nonsmooth intersection/composition","none","nonsmooth CBF","QP","pointwise continuous-time","yes","no","yes","no","no","QP or generalized-gradient constraint","invariance for nonsmooth safe-set compositions","multi-robot collision avoidance","not dense LiDAR or second-order UAV","multi-constraint composition","high for aggregate safety"
6,"Safety Barrier Certificates for Collisions-Free Multirobot Systems","Wang Ames and Egerstedt",2017,"IEEE TRO","https://doi.org/10.1109/TRO.2017.2659727","single/double-integrator robots","1 or 2","pairwise barrier certificates","none","pairwise CBF","centralized/decentralized QP","pointwise continuous-time","yes","no","yes","no","no","QP scaling with robot pairs","collision-free set invariance under feasibility","robotarium experiments","exact relative state and continuous implementation","pairwise collision QP","high"
7,"Multi-Constraint Safe Reinforcement Learning via Closed-form Solution for Log-Sum-Exp Approximation of Control Barrier Functions","Wang et al.",2025,"L4DC","https://proceedings.mlr.press/v283/wang25c.html","control-affine","application dependent","log-sum-exp aggregate barrier","off-policy RL with filter","aggregate CBF","closed-form correction","pointwise for represented aggregate condition","limited by assumed control set","no","yes","no","no","linear-time aggregation plus closed-form 1-row projection","CBF safety under stated aggregation assumptions","safe RL benchmarks","aggregation approximation and sensing assumptions","dense-constraint compute baseline","very high: directly covers generic aggregate closed-form claim"
8,"Learning Performance-oriented Control Barrier Functions Under Complex Safety Constraints and Limited Actuation","Manda Chen and Fazlyab",2025,"CoRL","https://proceedings.mlr.press/v270/manda25a.html","nonlinear systems","application dependent","learned performance-oriented CBF","learning-based control","learned CBF","differentiable constrained training plus online filter","pointwise conditional on valid learned certificate","yes","no","yes","model uncertainty considered","no","training expensive; online optimization application dependent","certificate claims conditional on training verification","robotics simulations","learned-certificate validity and distribution coverage","performance/conservatism comparison","high for learned performance-oriented CBF"
9,"Learn With Imagination: Safe Set Guided State-wise Constrained Policy Optimization","Sun et al.",2025,"L4DC","https://proceedings.mlr.press/v283/sun25a.html","MDP with dynamics model","not explicit","state-wise safe set","model-based safe RL","safe-set guide","policy optimization","state-wise statistical/model-dependent","action feasibility modeled","not central","environment dependent","model uncertainty central","no","model rollouts plus policy updates","state-wise constraint claim under assumptions","safe-control benchmarks","not a deterministic deployment filter","CMDP/state-wise baseline context","medium"
10,"A Physics-Informed Machine Learning Framework for Safe and Optimal Control of Autonomous Systems","Tayal et al.",2025,"ICML","https://proceedings.mlr.press/v267/tayal25a.html","nonlinear dynamical systems","application dependent","learned Lyapunov/barrier objects","learning-based control","physics-informed learned certificates","training optimization plus controller","conditional pointwise guarantee","yes","not central","possible","model/data uncertainty","no","offline neural training plus online control","certificate property under verification assumptions","autonomous-system tasks","not dense LiDAR sampled-data UAV","joint performance and safety learning","medium"
11,"Control Barrier Functions for Sampled-Data Systems with Input Delays","Singletary Chen and Ames",2020,"CDC","https://arxiv.org/abs/2005.06418","sampled control-affine systems","application dependent","delay-aware CBF condition","none","sampled-data/input-delay CBF","online constrained control","pointwise sampled-data under bounds","yes","yes","not central","state uncertainty bounds","no","similar online program plus robust margins","forward invariance under sampling delay and bounded uncertainty assumptions","vehicle examples","requires valid intersample bounds","sensor age and ZOH theory","high"
12,"Control Barrier Functions in Sampled-Data Systems","Bahati Ong and Ames",2022,"IEEE L-CSS","https://doi.org/10.1109/LCSYS.2021.3076127","sampled-data nonlinear systems","application dependent","sampled CBF condition","none","sampled-data CBF","online constrained control","pointwise sampled-data","yes","yes","not central","bounded uncertainty only","no","online program with sampled-data margin","forward invariance under sampling assumptions","simulation","bounds may be conservative","20 Hz implementation gap","high"
